station,date,aqi,rating_aqi,pm2.5,rating_pm2.5
"Long Phuoc, District 9","Thu, 25 November 2021",2,AQI US - Tốt,0.4,PM2.5 µg/m³ - Tốt
"Long Phuoc, District 9","Fri, 26 November 2021",1,AQI US - Tốt,0.3,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"Sun, 17 October 2021",44,AQI US - Tốt,10.6,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"Mon, 18 October 2021",27,AQI US - Tốt,6.5,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"Tue, 19 October 2021",31,AQI US - Tốt,7.5,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"Wed, 20 October 2021",67,AQI US - Trung bình,19.9,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"Thu, 21 October 2021",44,AQI US - Tốt,10.7,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"Fri, 22 October 2021",55,AQI US - Trung bình,14.1,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"Sat, 23 October 2021",52,AQI US - Trung bình,12.4,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"Sun, 24 October 2021",49,AQI US - Tốt,11.8,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"Mon, 25 October 2021",47,AQI US - Tốt,11.4,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"Tue, 26 October 2021",57,AQI US - Trung bình,15,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"Wed, 27 October 2021",46,AQI US - Tốt,11.1,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"Thu, 28 October 2021",29,AQI US - Tốt,7,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"Fri, 29 October 2021",52,AQI US - Trung bình,12.6,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"Sat, 30 October 2021",44,AQI US - Tốt,10.7,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"Sun, 31 October 2021",48,AQI US - Tốt,11.7,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"Mon, 01 November 2021",52,AQI US - Trung bình,12.8,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"Tue, 02 November 2021",60,AQI US - Trung bình,16.5,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"Wed, 03 November 2021",36,AQI US - Tốt,8.8,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"Thu, 04 November 2021",34,AQI US - Tốt,8.2,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"Fri, 05 November 2021",59,AQI US - Trung bình,16,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"Sat, 06 November 2021",39,AQI US - Tốt,9.5,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"Sun, 07 November 2021",39,AQI US - Tốt,9.5,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"Mon, 08 November 2021",26,AQI US - Tốt,6.3,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"Tue, 09 November 2021",59,AQI US - Trung bình,16,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"Wed, 10 November 2021",38,AQI US - Tốt,9.2,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"Thu, 11 November 2021",40,AQI US - Tốt,9.7,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"Fri, 12 November 2021",29,AQI US - Tốt,7,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"Sat, 13 November 2021",45,AQI US - Tốt,10.9,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"Sun, 14 November 2021",59,AQI US - Trung bình,15.7,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"Mon, 15 November 2021",42,AQI US - Tốt,10.1,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"Tue, 16 November 2021",43,AQI US - Tốt,10.3,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"Wed, 17 November 2021",69,AQI US - Trung bình,20.5,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"Thu, 18 November 2021",69,AQI US - Trung bình,20.6,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"Fri, 19 November 2021",60,AQI US - Trung bình,16.5,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"Mon, 22 November 2021",45,AQI US - Tốt,11,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"Tue, 23 November 2021",62,AQI US - Trung bình,17.3,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"Wed, 24 November 2021",54,AQI US - Trung bình,13.4,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"Thu, 25 November 2021",45,AQI US - Tốt,10.8,PM2.5 µg/m³ - Tốt
THCS Thanh My Loi,"Fri, 26 November 2021",48,AQI US - Tốt,11.5,PM2.5 µg/m³ - Tốt
IQAir Showroom - Saigon Pearl - Outdoor Air Quality Monitoring Station,"Thu, 21 October 2021",86,AQI US - Trung bình,28.6,PM2.5 µg/m³ - Tốt
IQAir Showroom - Saigon Pearl - Outdoor Air Quality Monitoring Station,"Mon, 25 October 2021",67,AQI US - Trung bình,19.6,PM2.5 µg/m³ - Tốt
IQAir Showroom - Saigon Pearl - Outdoor Air Quality Monitoring Station,"Tue, 26 October 2021",91,AQI US - Trung bình,31.1,PM2.5 µg/m³ - Tốt
IQAir Showroom - Saigon Pearl - Outdoor Air Quality Monitoring Station,"Wed, 27 October 2021",80,AQI US - Trung bình,26,PM2.5 µg/m³ - Tốt
IQAir Showroom - Saigon Pearl - Outdoor Air Quality Monitoring Station,"Thu, 28 October 2021",58,AQI US - Trung bình,15.3,PM2.5 µg/m³ - Tốt
IQAir Showroom - Saigon Pearl - Outdoor Air Quality Monitoring Station,"Fri, 29 October 2021",83,AQI US - Trung bình,27.6,PM2.5 µg/m³ - Tốt
IQAir Showroom - Saigon Pearl - Outdoor Air Quality Monitoring Station,"Sat, 30 October 2021",86,AQI US - Trung bình,28.8,PM2.5 µg/m³ - Tốt
IQAir Showroom - Saigon Pearl - Outdoor Air Quality Monitoring Station,"Sun, 31 October 2021",85,AQI US - Trung bình,28.2,PM2.5 µg/m³ - Tốt
IQAir Showroom - Saigon Pearl - Outdoor Air Quality Monitoring Station,"Mon, 01 November 2021",100,AQI US - Trung bình,35.3,PM2.5 µg/m³ - Tốt
IQAir Showroom - Saigon Pearl - Outdoor Air Quality Monitoring Station,"Tue, 02 November 2021",96,AQI US - Trung bình,33.8,PM2.5 µg/m³ - Tốt
IQAir Showroom - Saigon Pearl - Outdoor Air Quality Monitoring Station,"Wed, 03 November 2021",75,AQI US - Trung bình,23.5,PM2.5 µg/m³ - Tốt
IQAir Showroom - Saigon Pearl - Outdoor Air Quality Monitoring Station,"Thu, 04 November 2021",63,AQI US - Trung bình,17.7,PM2.5 µg/m³ - Tốt
IQAir Showroom - Saigon Pearl - Outdoor Air Quality Monitoring Station,"Fri, 05 November 2021",96,AQI US - Trung bình,33.7,PM2.5 µg/m³ - Tốt
IQAir Showroom - Saigon Pearl - Outdoor Air Quality Monitoring Station,"Sat, 06 November 2021",68,AQI US - Trung bình,20,PM2.5 µg/m³ - Tốt
IQAir Showroom - Saigon Pearl - Outdoor Air Quality Monitoring Station,"Sun, 07 November 2021",79,AQI US - Trung bình,25.7,PM2.5 µg/m³ - Tốt
IQAir Showroom - Saigon Pearl - Outdoor Air Quality Monitoring Station,"Mon, 08 November 2021",59,AQI US - Trung bình,15.8,PM2.5 µg/m³ - Tốt
IQAir Showroom - Saigon Pearl - Outdoor Air Quality Monitoring Station,"Tue, 09 November 2021",118,AQI US - Không lành mạnh cho các nhóm nhạy cảm,42.6,PM2.5 µg/m³ - Tốt
IQAir Showroom - Saigon Pearl - Outdoor Air Quality Monitoring Station,"Wed, 10 November 2021",63,AQI US - Trung bình,18,PM2.5 µg/m³ - Tốt
IQAir Showroom - Saigon Pearl - Outdoor Air Quality Monitoring Station,"Thu, 11 November 2021",79,AQI US - Trung bình,25.3,PM2.5 µg/m³ - Tốt
IQAir Showroom - Saigon Pearl - Outdoor Air Quality Monitoring Station,"Fri, 12 November 2021",63,AQI US - Trung bình,17.9,PM2.5 µg/m³ - Tốt
IQAir Showroom - Saigon Pearl - Outdoor Air Quality Monitoring Station,"Sat, 13 November 2021",78,AQI US - Trung bình,24.9,PM2.5 µg/m³ - Tốt
IQAir Showroom - Saigon Pearl - Outdoor Air Quality Monitoring Station,"Sun, 14 November 2021",116,AQI US - Không lành mạnh cho các nhóm nhạy cảm,41.6,PM2.5 µg/m³ - Tốt
IQAir Showroom - Saigon Pearl - Outdoor Air Quality Monitoring Station,"Mon, 15 November 2021",84,AQI US - Trung bình,28,PM2.5 µg/m³ - Tốt
IQAir Showroom - Saigon Pearl - Outdoor Air Quality Monitoring Station,"Tue, 16 November 2021",76,AQI US - Trung bình,23.8,PM2.5 µg/m³ - Tốt
IQAir Showroom - Saigon Pearl - Outdoor Air Quality Monitoring Station,"Wed, 17 November 2021",140,AQI US - Không lành mạnh cho các nhóm nhạy cảm,51.6,PM2.5 µg/m³ - Trung bình
IQAir Showroom - Saigon Pearl - Outdoor Air Quality Monitoring Station,"Thu, 18 November 2021",135,AQI US - Không lành mạnh cho các nhóm nhạy cảm,49.3,PM2.5 µg/m³ - Tốt
IQAir Showroom - Saigon Pearl - Outdoor Air Quality Monitoring Station,"Fri, 19 November 2021",94,AQI US - Trung bình,32.7,PM2.5 µg/m³ - Tốt
IQAir Showroom - Saigon Pearl - Outdoor Air Quality Monitoring Station,"Sat, 20 November 2021",153,AQI US - Không lành mạnh,60.3,PM2.5 µg/m³ - Trung bình
IQAir Showroom - Saigon Pearl - Outdoor Air Quality Monitoring Station,"Sun, 21 November 2021",107,AQI US - Không lành mạnh cho các nhóm nhạy cảm,37.8,PM2.5 µg/m³ - Tốt
IQAir Showroom - Saigon Pearl - Outdoor Air Quality Monitoring Station,"Mon, 22 November 2021",86,AQI US - Trung bình,29,PM2.5 µg/m³ - Tốt
IQAir Showroom - Saigon Pearl - Outdoor Air Quality Monitoring Station,"Tue, 23 November 2021",116,AQI US - Không lành mạnh cho các nhóm nhạy cảm,41.5,PM2.5 µg/m³ - Tốt
IQAir Showroom - Saigon Pearl - Outdoor Air Quality Monitoring Station,"Wed, 24 November 2021",99,AQI US - Trung bình,34.9,PM2.5 µg/m³ - Tốt
IQAir Showroom - Saigon Pearl - Outdoor Air Quality Monitoring Station,"Thu, 25 November 2021",75,AQI US - Trung bình,23.5,PM2.5 µg/m³ - Tốt
IQAir Showroom - Saigon Pearl - Outdoor Air Quality Monitoring Station,"Fri, 26 November 2021",87,AQI US - Trung bình,29.5,PM2.5 µg/m³ - Tốt
Lycee Francais International Marguerite Duras,"Tue, 23 November 2021",81,AQI US - Trung bình,26.6,PM2.5 µg/m³ - Tốt
Lycee Francais International Marguerite Duras,"Wed, 24 November 2021",66,AQI US - Trung bình,19.5,PM2.5 µg/m³ - Tốt
Lycee Francais International Marguerite Duras,"Thu, 25 November 2021",58,AQI US - Trung bình,15.4,PM2.5 µg/m³ - Tốt
Lycee Francais International Marguerite Duras,"Fri, 26 November 2021",51,AQI US - Trung bình,12.2,PM2.5 µg/m³ - Tốt
VSTARSCHOOL,"Fri, 15 October 2021",66,AQI US - Trung bình,19.2,PM2.5 µg/m³ - Tốt
VSTARSCHOOL,"Sat, 16 October 2021",65,AQI US - Trung bình,18.8,PM2.5 µg/m³ - Tốt
VSTARSCHOOL,"Sun, 17 October 2021",60,AQI US - Trung bình,16.5,PM2.5 µg/m³ - Tốt
VSTARSCHOOL,"Mon, 18 October 2021",26,AQI US - Tốt,6.2,PM2.5 µg/m³ - Tốt
VSTARSCHOOL,"Tue, 19 October 2021",44,AQI US - Tốt,10.6,PM2.5 µg/m³ - Tốt
VSTARSCHOOL,"Wed, 20 October 2021",94,AQI US - Trung bình,32.5,PM2.5 µg/m³ - Tốt
VSTARSCHOOL,"Thu, 21 October 2021",72,AQI US - Trung bình,21.9,PM2.5 µg/m³ - Tốt
VSTARSCHOOL,"Fri, 22 October 2021",66,AQI US - Trung bình,19.4,PM2.5 µg/m³ - Tốt
VSTARSCHOOL,"Sat, 23 October 2021",81,AQI US - Trung bình,26.2,PM2.5 µg/m³ - Tốt
VSTARSCHOOL,"Sun, 24 October 2021",70,AQI US - Trung bình,21.1,PM2.5 µg/m³ - Tốt
VSTARSCHOOL,"Mon, 25 October 2021",58,AQI US - Trung bình,15.6,PM2.5 µg/m³ - Tốt
VSTARSCHOOL,"Tue, 26 October 2021",81,AQI US - Trung bình,26.3,PM2.5 µg/m³ - Tốt
VSTARSCHOOL,"Wed, 27 October 2021",70,AQI US - Trung bình,21,PM2.5 µg/m³ - Tốt
VSTARSCHOOL,"Thu, 28 October 2021",45,AQI US - Tốt,10.9,PM2.5 µg/m³ - Tốt
VSTARSCHOOL,"Fri, 29 October 2021",64,AQI US - Trung bình,18.2,PM2.5 µg/m³ - Tốt
VSTARSCHOOL,"Sat, 30 October 2021",68,AQI US - Trung bình,20.4,PM2.5 µg/m³ - Tốt
VSTARSCHOOL,"Sun, 31 October 2021",64,AQI US - Trung bình,18.3,PM2.5 µg/m³ - Tốt
VSTARSCHOOL,"Mon, 01 November 2021",68,AQI US - Trung bình,20.3,PM2.5 µg/m³ - Tốt
VSTARSCHOOL,"Tue, 02 November 2021",73,AQI US - Trung bình,22.4,PM2.5 µg/m³ - Tốt
VSTARSCHOOL,"Wed, 03 November 2021",58,AQI US - Trung bình,15.3,PM2.5 µg/m³ - Tốt
VSTARSCHOOL,"Thu, 04 November 2021",58,AQI US - Trung bình,15.5,PM2.5 µg/m³ - Tốt
VSTARSCHOOL,"Fri, 05 November 2021",70,AQI US - Trung bình,21,PM2.5 µg/m³ - Tốt
VSTARSCHOOL,"Sat, 06 November 2021",53,AQI US - Trung bình,12.9,PM2.5 µg/m³ - Tốt
VSTARSCHOOL,"Sun, 07 November 2021",63,AQI US - Trung bình,17.7,PM2.5 µg/m³ - Tốt
VSTARSCHOOL,"Mon, 08 November 2021",52,AQI US - Trung bình,12.5,PM2.5 µg/m³ - Tốt
VSTARSCHOOL,"Tue, 09 November 2021",85,AQI US - Trung bình,28.1,PM2.5 µg/m³ - Tốt
VSTARSCHOOL,"Wed, 10 November 2021",60,AQI US - Trung bình,16.6,PM2.5 µg/m³ - Tốt
VSTARSCHOOL,"Thu, 11 November 2021",60,AQI US - Trung bình,16.3,PM2.5 µg/m³ - Tốt
VSTARSCHOOL,"Fri, 12 November 2021",52,AQI US - Trung bình,12.4,PM2.5 µg/m³ - Tốt
VSTARSCHOOL,"Sat, 13 November 2021",63,AQI US - Trung bình,17.6,PM2.5 µg/m³ - Tốt
VSTARSCHOOL,"Sun, 14 November 2021",80,AQI US - Trung bình,25.9,PM2.5 µg/m³ - Tốt
VSTARSCHOOL,"Mon, 15 November 2021",64,AQI US - Trung bình,18.2,PM2.5 µg/m³ - Tốt
VSTARSCHOOL,"Tue, 16 November 2021",63,AQI US - Trung bình,17.9,PM2.5 µg/m³ - Tốt
VSTARSCHOOL,"Wed, 17 November 2021",89,AQI US - Trung bình,30.4,PM2.5 µg/m³ - Tốt
VSTARSCHOOL,"Thu, 18 November 2021",98,AQI US - Trung bình,34.7,PM2.5 µg/m³ - Tốt
VSTARSCHOOL,"Fri, 19 November 2021",72,AQI US - Trung bình,22.2,PM2.5 µg/m³ - Tốt
VSTARSCHOOL,"Sat, 20 November 2021",121,AQI US - Không lành mạnh cho các nhóm nhạy cảm,43.6,PM2.5 µg/m³ - Tốt
VSTARSCHOOL,"Sun, 21 November 2021",81,AQI US - Trung bình,26.6,PM2.5 µg/m³ - Tốt
VSTARSCHOOL,"Mon, 22 November 2021",67,AQI US - Trung bình,19.6,PM2.5 µg/m³ - Tốt
VSTARSCHOOL,"Tue, 23 November 2021",85,AQI US - Trung bình,28.3,PM2.5 µg/m³ - Tốt
VSTARSCHOOL,"Wed, 24 November 2021",77,AQI US - Trung bình,24.5,PM2.5 µg/m³ - Tốt
VSTARSCHOOL,"Thu, 25 November 2021",67,AQI US - Trung bình,19.7,PM2.5 µg/m³ - Tốt
VSTARSCHOOL,"Fri, 26 November 2021",80,AQI US - Trung bình,25.8,PM2.5 µg/m³ - Tốt
Diamond Island,"Sun, 17 October 2021",56,AQI US - Trung bình,14.6,PM2.5 µg/m³ - Tốt
Diamond Island,"Mon, 18 October 2021",41,AQI US - Tốt,10,PM2.5 µg/m³ - Tốt
Diamond Island,"Tue, 19 October 2021",54,AQI US - Trung bình,13.3,PM2.5 µg/m³ - Tốt
Diamond Island,"Wed, 20 October 2021",100,AQI US - Trung bình,35.4,PM2.5 µg/m³ - Tốt
Diamond Island,"Thu, 21 October 2021",72,AQI US - Trung bình,22.1,PM2.5 µg/m³ - Tốt
Diamond Island,"Fri, 22 October 2021",74,AQI US - Trung bình,22.9,PM2.5 µg/m³ - Tốt
Diamond Island,"Sat, 23 October 2021",83,AQI US - Trung bình,27.4,PM2.5 µg/m³ - Tốt
Diamond Island,"Sun, 24 October 2021",67,AQI US - Trung bình,19.7,PM2.5 µg/m³ - Tốt
Diamond Island,"Mon, 25 October 2021",63,AQI US - Trung bình,18,PM2.5 µg/m³ - Tốt
Diamond Island,"Tue, 26 October 2021",73,AQI US - Trung bình,22.5,PM2.5 µg/m³ - Tốt
Diamond Island,"Wed, 27 October 2021",65,AQI US - Trung bình,18.7,PM2.5 µg/m³ - Tốt
Diamond Island,"Thu, 28 October 2021",57,AQI US - Trung bình,14.9,PM2.5 µg/m³ - Tốt
Diamond Island,"Fri, 29 October 2021",77,AQI US - Trung bình,24.7,PM2.5 µg/m³ - Tốt
Diamond Island,"Sat, 30 October 2021",74,AQI US - Trung bình,22.9,PM2.5 µg/m³ - Tốt
Diamond Island,"Sun, 31 October 2021",73,AQI US - Trung bình,22.6,PM2.5 µg/m³ - Tốt
Diamond Island,"Mon, 01 November 2021",81,AQI US - Trung bình,26.6,PM2.5 µg/m³ - Tốt
Diamond Island,"Tue, 02 November 2021",91,AQI US - Trung bình,31.1,PM2.5 µg/m³ - Tốt
Diamond Island,"Wed, 03 November 2021",70,AQI US - Trung bình,21.2,PM2.5 µg/m³ - Tốt
Diamond Island,"Thu, 04 November 2021",56,AQI US - Trung bình,14.7,PM2.5 µg/m³ - Tốt
Diamond Island,"Fri, 05 November 2021",93,AQI US - Trung bình,32.1,PM2.5 µg/m³ - Tốt
Diamond Island,"Sat, 06 November 2021",68,AQI US - Trung bình,20,PM2.5 µg/m³ - Tốt
Diamond Island,"Sun, 07 November 2021",69,AQI US - Trung bình,20.6,PM2.5 µg/m³ - Tốt
Diamond Island,"Mon, 08 November 2021",56,AQI US - Trung bình,14.3,PM2.5 µg/m³ - Tốt
Diamond Island,"Tue, 09 November 2021",97,AQI US - Trung bình,34.3,PM2.5 µg/m³ - Tốt
Diamond Island,"Wed, 10 November 2021",58,AQI US - Trung bình,15.5,PM2.5 µg/m³ - Tốt
Diamond Island,"Thu, 11 November 2021",72,AQI US - Trung bình,22.1,PM2.5 µg/m³ - Tốt
Diamond Island,"Fri, 12 November 2021",56,AQI US - Trung bình,14.5,PM2.5 µg/m³ - Tốt
Diamond Island,"Sat, 13 November 2021",70,AQI US - Trung bình,21.4,PM2.5 µg/m³ - Tốt
Diamond Island,"Sun, 14 November 2021",84,AQI US - Trung bình,27.9,PM2.5 µg/m³ - Tốt
Diamond Island,"Mon, 15 November 2021",72,AQI US - Trung bình,22,PM2.5 µg/m³ - Tốt
Diamond Island,"Tue, 16 November 2021",66,AQI US - Trung bình,19.4,PM2.5 µg/m³ - Tốt
Diamond Island,"Wed, 17 November 2021",115,AQI US - Không lành mạnh cho các nhóm nhạy cảm,41.1,PM2.5 µg/m³ - Tốt
Diamond Island,"Thu, 18 November 2021",105,AQI US - Không lành mạnh cho các nhóm nhạy cảm,37.3,PM2.5 µg/m³ - Tốt
Diamond Island,"Fri, 19 November 2021",82,AQI US - Trung bình,27,PM2.5 µg/m³ - Tốt
Diamond Island,"Sat, 20 November 2021",117,AQI US - Không lành mạnh cho các nhóm nhạy cảm,42.2,PM2.5 µg/m³ - Tốt
Diamond Island,"Sun, 21 November 2021",90,AQI US - Trung bình,30.7,PM2.5 µg/m³ - Tốt
Diamond Island,"Mon, 22 November 2021",68,AQI US - Trung bình,20.4,PM2.5 µg/m³ - Tốt
Diamond Island,"Tue, 23 November 2021",89,AQI US - Trung bình,30.3,PM2.5 µg/m³ - Tốt
Diamond Island,"Wed, 24 November 2021",79,AQI US - Trung bình,25.6,PM2.5 µg/m³ - Tốt
Diamond Island,"Thu, 25 November 2021",66,AQI US - Trung bình,19.3,PM2.5 µg/m³ - Tốt
Diamond Island,"Fri, 26 November 2021",73,AQI US - Trung bình,22.4,PM2.5 µg/m³ - Tốt
Mam non Hai Au Bay,"Sun, 17 October 2021",72,AQI US - Trung bình,21.9,PM2.5 µg/m³ - Tốt
Mam non Hai Au Bay,"Mon, 18 October 2021",32,AQI US - Tốt,7.8,PM2.5 µg/m³ - Tốt
Mam non Hai Au Bay,"Tue, 19 October 2021",48,AQI US - Tốt,11.7,PM2.5 µg/m³ - Tốt
Mam non Hai Au Bay,"Wed, 20 October 2021",127,AQI US - Không lành mạnh cho các nhóm nhạy cảm,46,PM2.5 µg/m³ - Tốt
Mam non Hai Au Bay,"Thu, 21 October 2021",86,AQI US - Trung bình,28.8,PM2.5 µg/m³ - Tốt
Mam non Hai Au Bay,"Fri, 22 October 2021",85,AQI US - Trung bình,28.4,PM2.5 µg/m³ - Tốt
Mam non Hai Au Bay,"Sat, 23 October 2021",90,AQI US - Trung bình,30.6,PM2.5 µg/m³ - Tốt
Mam non Hai Au Bay,"Sun, 24 October 2021",86,AQI US - Trung bình,29,PM2.5 µg/m³ - Tốt
Mam non Hai Au Bay,"Mon, 25 October 2021",77,AQI US - Trung bình,24.3,PM2.5 µg/m³ - Tốt
Mam non Hai Au Bay,"Tue, 26 October 2021",106,AQI US - Không lành mạnh cho các nhóm nhạy cảm,37.5,PM2.5 µg/m³ - Tốt
Mam non Hai Au Bay,"Wed, 27 October 2021",78,AQI US - Trung bình,25,PM2.5 µg/m³ - Tốt
Mam non Hai Au Bay,"Thu, 28 October 2021",53,AQI US - Trung bình,13,PM2.5 µg/m³ - Tốt
Mam non Hai Au Bay,"Fri, 29 October 2021",75,AQI US - Trung bình,23.5,PM2.5 µg/m³ - Tốt
Mam non Hai Au Bay,"Sat, 30 October 2021",79,AQI US - Trung bình,25.7,PM2.5 µg/m³ - Tốt
Mam non Hai Au Bay,"Sun, 31 October 2021",81,AQI US - Trung bình,26.3,PM2.5 µg/m³ - Tốt
Mam non Hai Au Bay,"Mon, 01 November 2021",99,AQI US - Trung bình,34.9,PM2.5 µg/m³ - Tốt
Mam non Hai Au Bay,"Tue, 02 November 2021",93,AQI US - Trung bình,32.1,PM2.5 µg/m³ - Tốt
Mam non Hai Au Bay,"Wed, 03 November 2021",78,AQI US - Trung bình,25.1,PM2.5 µg/m³ - Tốt
Mam non Hai Au Bay,"Thu, 04 November 2021",58,AQI US - Trung bình,15.6,PM2.5 µg/m³ - Tốt
Mam non Hai Au Bay,"Fri, 05 November 2021",125,AQI US - Không lành mạnh cho các nhóm nhạy cảm,45.3,PM2.5 µg/m³ - Tốt
Mam non Hai Au Bay,"Sun, 07 November 2021",63,AQI US - Trung bình,18,PM2.5 µg/m³ - Tốt
Mam non Hai Au Bay,"Mon, 08 November 2021",56,AQI US - Trung bình,14.6,PM2.5 µg/m³ - Tốt
Mam non Hai Au Bay,"Tue, 09 November 2021",113,AQI US - Không lành mạnh cho các nhóm nhạy cảm,40.2,PM2.5 µg/m³ - Tốt
Mam non Hai Au Bay,"Wed, 10 November 2021",64,AQI US - Trung bình,18.3,PM2.5 µg/m³ - Tốt
Mam non Hai Au Bay,"Thu, 11 November 2021",74,AQI US - Trung bình,23.3,PM2.5 µg/m³ - Tốt
Mam non Hai Au Bay,"Fri, 12 November 2021",79,AQI US - Trung bình,25.3,PM2.5 µg/m³ - Tốt
Mam non Hai Au Bay,"Sat, 13 November 2021",155,AQI US - Không lành mạnh,63.7,PM2.5 µg/m³ - Trung bình
Mam non Hai Au Bay,"Sun, 14 November 2021",89,AQI US - Trung bình,30.2,PM2.5 µg/m³ - Tốt
Mam non Hai Au Bay,"Mon, 15 November 2021",82,AQI US - Trung bình,27,PM2.5 µg/m³ - Tốt
Mam non Hai Au Bay,"Tue, 16 November 2021",81,AQI US - Trung bình,26.5,PM2.5 µg/m³ - Tốt
